ˇregion,repDate,intRepDate,startTime,endTime,newTransectCode,ButtID,hSpeciesName,eSpeciesName,sectionNum,butterflyNum,repId,userID,temperature,Lat,Lon,OldButtName,year,month,reason why was not loaded
NORTH,10/09/2012,10/09/2012,11:52:00,12:23:00,TRANS009,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,1extra,2,977,SYS1,25.8,33.029358,35.39415,NULL,2012,9,
NORTH,05/10/2012,05/10/2012,11:45:00,12:10:00,TRANS352,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,5extra,1,983,SYS2,26,32.70603333,34.98356667,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,05/10/2012,05/10/2012,11:45:00,12:10:00,TRANS352,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,6extra,2,983,SYS2,26,32.70603333,34.98356667,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,05/10/2012,05/10/2012,11:45:00,12:10:00,TRANS352,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,8extra,1,983,SYS2,26,32.70603333,34.98356667,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,26/10/2011,26/10/2011,10:25:00,11:08:00,TRANS352,24,€º∞Íπ›-€º∏‡∏„ ‘∑ﬁº∞Ê¥‹∞Í∑ºŸ¥›,Anthocharis cardamines,2extra,1,997,SYS2,20,32.70603333,34.98356667,NULL,2011,10,
NORTH,22/10/2012,22/10/2012,11:50:00,12:15:00,TRANS009,10,‹∑—∞‡¥Ÿﬂ ‘∑€º∞Ë’º—,Pieris brassicae,1extra,2,1004,SYS1,23.1,33.029358,35.39415,NULL,2012,10,
NORTH,19/10/2012,19/10/2012,12:45:00,13:10:00,TRANS352,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,8extra,2,1005,SYS2,25,32.70603333,34.98356667,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,19/10/2012,19/10/2012,12:45:00,13:10:00,TRANS352,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,2extra,1,1005,SYS2,25,32.70603333,34.98356667,NULL,2012,10,
NORTH,11/10/2012,11/10/2012,10:00:00,11:30:00,TRANS346,144,‘∂·∞‰ºµË¥ŸÍ ‘∑”ºπ◊∑ﬂ,Pelopidas thrax,1extra,2,1014,SYS5,26,32.552866,34.944528,NULL,2012,10,
NORTH,11/10/2012,11/10/2012,10:00:00,11:30:00,TRANS346,36,‘∑“∞Ë∑ﬂ ‘∑·º∂‡∂–,Catopsilia florella,4extra,1,1014,SYS5,26,32.552866,34.944528,‹—‡Ÿﬂ €–·Ÿ‘,2012,10,
NORTH,11/10/2012,11/10/2012,10:00:00,11:30:00,TRANS346,96,€º∑◊∞‹’πﬂ ‘∏–∑·∞‰º∂·∂Í,Leptotes pirithous,2extra,2,1014,SYS5,26,32.552866,34.944528,€◊‹Ÿ‹ –·‰·Í,2012,10,
NORTH,11/10/2012,11/10/2012,10:00:00,11:30:00,TRANS346,1,÷∞‡∑—-·∞‡’º‡¥ŸÍ ‡∏–∂‘,Papilio machaon,1extra,1,1014,SYS5,26,32.552866,34.944528,NULL,2012,10,
NORTH,11/10/2012,11/10/2012,10:00:00,11:30:00,TRANS301,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,6extra,1,1015,SYS5,26,32.551467,34.943514,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,11/10/2012,11/10/2012,10:00:00,11:30:00,TRANS303,62,·∏ÿ¥ŸË¥ŸÍ –≤‰µ‹∏‘,Hipparchia fatua,6extra,2,1017,SYS5,26,32.546637,34.940316,·ÿŸËŸÍ ‚ﬁ’ﬁ‘,2012,10,
NORTH,29/10/2012,29/10/2012,11:00:00,12:30:00,TRANS346,96,€º∑◊∞‹’πﬂ ‘∏–∑·∞‰º∂·∂Í,Leptotes pirithous,5extra,1,1018,SYS5,26,32.552866,34.944528,€◊‹Ÿ‹ –·‰·Í,2012,10,
NORTH,29/10/2012,29/10/2012,11:00:00,12:30:00,TRANS346,96,€º∑◊∞‹’πﬂ ‘∏–∑·∞‰º∂·∂Í,Leptotes pirithous,6extra,1,1018,SYS5,26,32.552866,34.944528,€◊‹Ÿ‹ –·‰·Í,2012,10,
NORTH,29/10/2012,29/10/2012,11:00:00,12:30:00,TRANS346,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,4extra,1,1018,SYS5,26,32.552866,34.944528,NULL,2012,10,
NORTH,29/10/2012,29/10/2012,11:00:00,12:30:00,TRANS346,62,·∏ÿ¥ŸË¥ŸÍ –≤‰µ‹∏‘,Hipparchia fatua,3extra,1,1018,SYS5,26,32.552866,34.944528,·ÿŸËŸÍ ‚ﬁ’ﬁ‘,2012,10,
NORTH,29/10/2012,29/10/2012,11:00:00,12:30:00,TRANS346,29,‹¥Ÿﬁ’π‡¥Ÿ ‘∏–∂È¡∞◊∏Ë,Gonepteryx cleopatra,3extra,1,1018,SYS5,26,32.552866,34.944528,‹Ÿﬁ’‡ŸÍ –È◊Ë,2012,10,
NORTH,29/10/2012,29/10/2012,11:00:00,12:30:00,TRANS303,44,‡¥Ÿﬁ∞‰¥ŸÍ ‘∑◊ªË∞È¡∏„,Vanessa cardui,4extra,1,1021,SYS5,26,32.546637,34.940316,NULL,2012,10,
NORTH,03/11/2012,03/11/2012,11:05:00,11:45:00,TRANS352,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,7extra,1,1026,SYS2,29,32.70603333,34.98356667,NULL,2012,11,
NORTH,03/11/2012,03/11/2012,11:05:00,11:45:00,TRANS352,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,6extra,1,1026,SYS2,29,32.70603333,34.98356667,‹—‡Ÿﬂ Ê‹„,2012,11,
NORTH,21/11/2012,21/11/2012,12:18:00,12:43:00,TRANS009,10,‹∑—∞‡¥Ÿﬂ ‘∑€º∞Ë’º—,Pieris brassicae,1extra,1,1052,SYS1,18.1,33.029358,35.39415,NULL,2012,11,
NORTH,25/11/2012,25/11/2012,10:30:00,12:00:00,TRANS301,29,‹¥Ÿﬁ’π‡¥Ÿ ‘∏–∂È¡∞◊∏Ë,Gonepteryx cleopatra,2extra,1,1053,SYS5,20,32.551467,34.943514,‹Ÿﬁ’‡ŸÍ –È◊Ë,2012,11,
NORTH,25/11/2012,25/11/2012,10:30:00,12:00:00,TRANS303,7,Ê¥—∞‚’πﬂ È¡∏Á’º„,Archon apollinus,2extra,1,1055,SYS5,20,32.546637,34.940316,Ê—‚’‡Ÿ ÈÁ’„,2012,11,
NORTH,25/11/2012,25/11/2012,10:30:00,12:00:00,TRANS303,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,5extra,1,1055,SYS5,20,32.546637,34.940316,NULL,2012,11,
NORTH,25/11/2012,25/11/2012,10:30:00,12:00:00,TRANS346,37,”º∏‡∏–¥ŸÍ ‘≤”’ºË∏‘,Danaus chrysippus,1extra,1,1056,SYS5,20,32.552866,34.944528,”‡–ŸÍ Í‰’◊-·”’›,2012,11,
NORTH,25/11/2012,25/11/2012,10:30:00,12:00:00,TRANS346,44,‡¥Ÿﬁ∞‰¥ŸÍ ‘∑◊ªË∞È¡∏„,Vanessa cardui,1extra,1,1056,SYS5,20,32.552866,34.944528,NULL,2012,11,
NORTH,06/11/2012,06/11/2012,10:00:00,11:30:00,TRANS301,44,‡¥Ÿﬁ∞‰¥ŸÍ ‘∑◊ªË∞È¡∏„,Vanessa cardui,3extra,1,1057,SYS5,25,32.551467,34.943514,NULL,2012,11,
NORTH,06/11/2012,06/11/2012,10:00:00,11:30:00,TRANS302,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,1extra,1,1058,SYS5,25,32.545599,34.939289,NULL,2012,11,
NORTH,06/11/2012,06/11/2012,10:00:00,11:30:00,TRANS302,62,·∏ÿ¥ŸË¥ŸÍ –≤‰µ‹∏‘,Hipparchia fatua,2extra,1,1058,SYS5,25,32.545599,34.939289,·ÿŸËŸÍ ‚ﬁ’ﬁ‘,2012,11,
NORTH,06/11/2012,06/11/2012,10:00:00,11:30:00,TRANS302,62,·∏ÿ¥ŸË¥ŸÍ –≤‰µ‹∏‘,Hipparchia fatua,4extra,1,1058,SYS5,25,32.545599,34.939289,·ÿŸËŸÍ ‚ﬁ’ﬁ‘,2012,11,
NORTH,06/11/2012,06/11/2012,10:00:00,11:30:00,TRANS346,96,€º∑◊∞‹’πﬂ ‘∏–∑·∞‰º∂·∂Í,Leptotes pirithous,2extra,2,1060,SYS5,25,32.552866,34.944528,€◊‹Ÿ‹ –·‰·Í,2012,11,
NORTH,06/11/2012,06/11/2012,10:00:00,11:30:00,TRANS346,96,€º∑◊∞‹’πﬂ ‘∏–∑·∞‰º∂·∂Í,Leptotes pirithous,5extra,3,1060,SYS5,25,32.552866,34.944528,€◊‹Ÿ‹ –·‰·Í,2012,11,
NORTH,17/12/2012,17/12/2012,13:10:00,13:35:00,TRANS009,10,‹∑—∞‡¥Ÿﬂ ‘∑€º∞Ë’º—,Pieris brassicae,8extra,1,1082,SYS1,13.1,33.029358,35.39415,NULL,2012,12,
NORTH,17/12/2012,17/12/2012,13:10:00,13:35:00,TRANS009,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,1extra,1,1082,SYS1,13.1,33.029358,35.39415,NULL,2012,12,
NORTH,09/12/2012,09/12/2012,12:00:00,13:30:00,TRANS301,44,‡¥Ÿﬁ∞‰¥ŸÍ ‘∑◊ªË∞È¡∏„,Vanessa cardui,4extra,1,1086,SYS5,20,32.551467,34.943514,NULL,2012,12,
NORTH,12/10/2012,12/10/2012,11:10:00,11:35:00,TRANS344,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,1extra,10,1087,SYS6,28,32.73441667,35.17013333,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,25/12/2012,25/12/2012,12:00:00,13:30:00,TRANS346,28,Ê∑‘≤—’π‡¥Ÿ ‘∑Íº¥‹∞Íº∏ﬂ,Colias croceus,4extra,2,1088,SYS5,20,32.552866,34.944528,‹—‡Ÿﬂ Í‹Íﬂ,2012,12,
NORTH,25/12/2012,25/12/2012,12:00:00,13:30:00,TRANS346,22,Ÿ∞ËπÁ-€º∏‡∏„ ﬁ∞‰ª·∞‰º∏·,Euchloe belemia,4extra,1,1088,SYS5,20,32.552866,34.944528,‹—‡Ÿﬂ ŸË’Á-‰·Ÿ›,2012,12,
NORTH,25/12/2012,25/12/2012,12:00:00,13:30:00,TRANS346,127,–≤‰πË¥ŸÍ ‘∑◊∂‹∞ﬁ¥ŸÍ,Carcharodus alceae,4extra,1,1088,SYS5,20,32.552866,34.944528,‘·‰ËŸÍ ◊‹ﬁŸÍ,2012,12,
NORTH,27/10/2012,27/10/2012,10:00:00,10:25:00,TRANS344,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,1extra,1,1089,SYS6,999,32.73441667,35.17013333,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,27/10/2012,27/10/2012,10:00:00,10:25:00,TRANS344,15,”º∞Ë’πﬁ¥Ÿ ‘∑Êº∏‹∏„,Colotis fausta,3extra,1,1089,SYS6,999,32.73441667,35.17013333,‹—‡Ÿﬂ Ê‹„,2012,10,
NORTH,09/12/2012,09/12/2012,12:00:00,13:30:00,TRANS303,28,Ê∑‘≤—’π‡¥Ÿ ‘∑Íº¥‹∞Íº∏ﬂ,Colias croceus,3extra,1,1091,SYS5,20,32.546637,34.940316,‹—‡Ÿﬂ Í‹Íﬂ,2012,12,
NORTH,16/12/2012,16/12/2012,11:00:00,12:30:00,TRANS346,44,‡¥Ÿﬁ∞‰¥ŸÍ ‘∑◊ªË∞È¡∏„,Vanessa cardui,1extra,2,1092,SYS5,18,32.552866,34.944528,NULL,2012,12,
NORTH,16/12/2012,16/12/2012,11:00:00,12:30:00,TRANS346,44,‡¥Ÿﬁ∞‰¥ŸÍ ‘∑◊ªË∞È¡∏„,Vanessa cardui,3extra,1,1092,SYS5,18,32.552866,34.944528,NULL,2012,12,
NORTH,20/11/2012,20/11/2012,10:15:00,10:40:00,TRANS344,12,‹∑—∞‡¥Ÿﬂ ‘∑Êº∞‡’πﬂ,Pieris rapae,1extra,1,1093,SYS6,23,32.73441667,35.17013333,NULL,2012,11,
